Tempo;MV;PV_sim;PV_modelo
0.0;0.0;-0.047201556055616364;-0.047201556055616364
0.5;0.0;0.027286722680085113;-0.047201556055616364
1.0;0.0;-0.009404289903450519;-0.047201556055616364
1.5;0.0;0.06291105335020446;-0.047201556055616364
2.0;0.0;0.017276010516639465;-0.047201556055616364
2.5;0.0;0.06810440123600174;-0.047201556055616364
3.0;0.0;-0.045219728965396014;-0.047201556055616364
3.5;0.0;0.0004119133227738859;-0.047201556055616364
4.0;0.0;0.009585822996131048;-0.047201556055616364
4.5;0.0;0.05153441521692201;-0.047201556055616364
5.0;0.0;0.012294339699106309;-0.047201556055616364
5.5;0.0;0.032024461030524004;-0.047201556055616364
6.0;0.0;0.04989070475733582;-0.047201556055616364
6.5;0.0;-0.01670012917255299;-0.047201556055616364
7.0;0.0;-0.07564495740081492;-0.047201556055616364
7.5;0.0;-0.048913867864793015;-0.047201556055616364
8.0;0.0;0.05484196283606873;-0.047201556055616364
8.5;0.0;-0.018858547430510065;-0.047201556055616364
9.0;0.0;-0.1650499157860002;-0.047201556055616364
9.5;0.0;-0.0283226441422273;-0.047201556055616364
10.0;5.0;0.03902189983977488;-0.047201556055616364
10.5;5.0;-0.08454231732117373;-0.047201556055616364
11.0;5.0;-0.018913252048123507;-0.047201556055616364
11.5;5.0;-0.012261824727499364;-0.047201556055616364
12.0;5.0;0.09890163749793023;-0.047201556055616364
12.5;5.0;-0.034679714605540105;-0.047201556055616364
13.0;5.0;0.034268196056471786;-0.047201556055616364
13.5;5.0;-0.023119659985688868;-0.047201556055616364
14.0;5.0;0.0008470865339783572;-0.047201556055616364
14.5;5.0;-0.09147821804981415;-0.047201556055616364
15.0;5.0;0.05569948686630447;-0.047201556055616364
15.5;5.0;0.05178868675700187;-0.047201556055616364
16.0;5.0;0.035286814629352334;-0.047201556055616364
16.5;5.0;0.03242455268029714;-0.047201556055616364
17.0;5.0;-0.021507863243313927;-0.047201556055616364
17.5;5.0;0.09028428790330072;-0.047201556055616364
18.0;5.0;-0.0056746022289868685;-0.047201556055616364
18.5;5.0;-0.03454517087304991;-0.047201556055616364
19.0;5.0;0.07532945949424308;-0.047201556055616364
19.5;5.0;-0.00648661820906898;-0.045272978758693724
20.0;5.0;-0.015662811510908734;-0.03049295555803344
20.5;5.0;0.015912886371352252;0.011675383814497522
21.0;5.0;0.17353230281942206;0.08153939344992074
21.5;5.0;0.19990141515789855;0.17587962648408328
22.0;5.0;0.1684149899727008;0.29179048256097095
22.5;5.0;0.4212870092845826;0.42665057519977373
23.0;5.0;0.6436447724484269;0.578095878710071
23.5;5.0;0.8007846213270019;0.7439953942918244
24.0;5.0;0.9199438715674106;0.9224290993382931
24.5;5.0;1.120044185087739;1.1116679660583808
25.0;5.0;1.3323046459191248;1.3101558555640611
25.5;5.0;1.5197107140787658;1.5164931117221803
26.0;5.0;1.7075851235811725;1.729421695523692
26.5;5.0;1.9957663312912548;1.9478117156364383
27.0;5.0;2.155562493535892;2.1706492243242037
27.5;5.0;2.296561230425185;2.3970251601657053
28.0;5.0;2.657794132452542;2.6261253301109333
28.5;5.0;2.9185644828261688;2.857221333476286
29.0;5.0;3.0744272241613597;3.089662339601552
29.5;5.0;3.3266642423654855;3.3228676391592713
30.0;5.0;3.5486785544052273;3.5563198966003164
30.5;5.0;3.652745624928783;3.789559038011159
31.0;5.0;4.0677099272924195;4.022176714813937
31.5;5.0;4.169945973775469;4.253811289319689
32.0;5.0;4.46450273257919;4.484143293201883
32.5;5.0;4.683720611129995;4.712891314540641
33.0;5.0;4.937544877048615;4.93980827324212
33.5;5.0;5.10431551496087;5.164678048402596
34.0;5.0;5.445229449637476;5.387312424599265
34.5;5.0;5.541571856209296;5.607548327182753
35.0;5.0;5.872863167381635;5.82524531944959
35.5;5.0;6.002685402821418;6.040283337113707
36.0;5.0;6.285799050555722;6.252560637798868
36.5;5.0;6.512537577898197;6.4619919453611265
37.0;5.0;6.661447445475108;6.668506770742162
37.5;5.0;6.881314226058129;6.8720478927688955
38.0;5.0;7.088277922611676;7.072569983868814
38.5;5.0;7.3239274671443475;7.270038367078912
39.0;5.0;7.315919188630734;7.464427892002706
39.5;5.0;7.795939039324248;7.655721918526813
40.0;5.0;7.8942358332971025;7.8439113981572275
40.5;5.0;8.069000767701917;8.028994043785888
41.0;5.0;8.217350014262134;8.21097357955955
41.5;5.0;8.344771856568784;8.389859063303684
